tahun,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010,60,4,73,27,14,73,CO,2,DKI1
2010,32,2,16,33,9,33,O3,1,DKI1
2010,27,2,19,20,9,27,PM10,1,DKI1
2010,22,2,16,15,6,22,PM10,1,DKI1
2010,25,2,17,15,8,25,PM10,1,DKI1
2010,30,3,22,19,11,30,PM10,1,DKI1
2010,41,4,24,27,13,41,PM10,1,DKI1
2010,64,8,51,19,15,64,PM10,2,DKI1
2010,55,5,39,23,16,55,PM10,2,DKI1
2010,34,5,23,26,12,34,PM10,1,DKI1
2010,55,10,32,23,16,55,PM10,2,DKI1
2010,45,4,33,9,17,45,PM10,1,DKI1
2010,28,5,29,10,12,29,CO,1,DKI1
2010,38,6,28,15,10,38,PM10,1,DKI1
2010,35,5,33,17,17,35,PM10,1,DKI1
2010,54,5,38,17,18,54,PM10,2,DKI1
2010,44,4,28,22,14,44,PM10,1,DKI1
2010,38,4,29,24,15,38,PM10,1,DKI1
2010,40,3,43,23,23,43,CO,1,DKI1
2010,61,5,63,16,17,63,CO,2,DKI1
2010,36,4,27,23,13,36,PM10,1,DKI1
2010,51,4,45,14,13,51,PM10,2,DKI1
2010,35,3,30,20,14,35,PM10,1,DKI1
2010,56,6,46,30,14,56,PM10,2,DKI1
2010,59,4,38,18,15,59,PM10,2,DKI1
2010,43,5,42,19,24,43,PM10,1,DKI1
2010,54,8,38,40,16,54,PM10,2,DKI1
2010,72,8,55,20,17,72,PM10,2,DKI1
2010,51,8,24,19,11,51,PM10,2,DKI1
2010,47,8,32,19,12,47,PM10,1,DKI1
2010,32,5,25,26,10,32,PM10,1,DKI1
2010,41,7,30,17,13,41,PM10,1,DKI1
2010,50,4,30,23,12,50,PM10,1,DKI1
2010,49,7,33,57,23,57,O3,2,DKI1
2010,59,9,38,75,26,75,O3,2,DKI1
2010,63,7,39,41,23,63,PM10,2,DKI1
2010,65,8,59,24,15,65,PM10,2,DKI1
2010,60,10,45,47,17,60,PM10,2,DKI1
2010,46,5,31,42,17,46,PM10,1,DKI1
2010,52,7,30,34,16,52,PM10,2,DKI1
2010,50,8,31,39,14,50,PM10,1,DKI1
2010,47,5,27,26,14,47,PM10,1,DKI1
2010,56,6,33,45,20,56,PM10,2,DKI1
2010,55,6,39,14,14,55,PM10,2,DKI1
2010,55,6,61,16,13,61,CO,2,DKI1
2010,40,4,30,63,22,63,O3,2,DKI1
2010,56,4,43,25,20,56,PM10,2,DKI1
2010,52,4,34,30,17,52,PM10,2,DKI1
2010,41,5,26,14,10,41,PM10,1,DKI1
2010,37,4,43,17,17,43,CO,1,DKI1
2010,52,3,64,18,12,64,CO,2,DKI1
2010,61,4,53,36,15,61,PM10,2,DKI1
2010,34,4,31,23,16,34,PM10,1,DKI1
2010,57,7,35,42,18,57,PM10,2,DKI1
2010,59,4,44,93,24,93,O3,2,DKI1
2010,65,6,55,26,26,65,PM10,2,DKI1
2010,68,9,67,67,22,68,PM10,2,DKI1
2010,67,8,47,47,19,67,PM10,2,DKI1
2010,65,6,38,80,23,80,O3,2,DKI1
2010,60,5,39,44,19,60,PM10,2,DKI1
2010,74,8,56,68,27,74,PM10,2,DKI1
2010,54,12,35,77,25,77,O3,2,DKI1
2010,59,9,32,62,20,62,O3,2,DKI1
2010,62,11,35,31,19,62,PM10,2,DKI1
2010,72,10,54,43,23,72,PM10,2,DKI1
2010,59,7,46,57,19,59,PM10,2,DKI1
2010,56,7,37,39,18,56,PM10,2,DKI1
2010,45,5,33,27,15,45,PM10,1,DKI1
2010,44,8,37,41,19,44,PM10,1,DKI1
2010,51,6,37,18,14,51,PM10,2,DKI1
2010,43,6,42,39,20,43,PM10,1,DKI1
2010,74,9,46,64,16,74,PM10,2,DKI1
2010,61,9,27,27,13,61,PM10,2,DKI1
2010,52,8,28,30,15,52,PM10,2,DKI1
2010,40,5,25,45,13,45,O3,1,DKI1
2010,50,8,30,25,15,50,PM10,1,DKI1
2010,58,10,33,23,15,58,PM10,2,DKI1
2010,63,10,44,36,18,63,PM10,2,DKI1
2010,54,11,29,66,19,66,O3,2,DKI1
2010,52,7,33,31,16,52,PM10,2,DKI1
2010,37,5,22,15,10,37,PM10,1,DKI1
2010,52,9,44,42,29,52,PM10,2,DKI1
2010,0,7,41,99,29,99,O3,2,DKI1
2010,55,9,33,46,20,55,PM10,2,DKI1
2010,48,4,45,57,29,57,O3,2,DKI1
2010,61,18,41,59,16,61,PM10,2,DKI1
2010,56,4,44,45,13,56,PM10,2,DKI1
2010,50,2,34,27,25,50,PM10,1,DKI1
2010,44,6,33,0,12,44,PM10,1,DKI1
2010,58,5,57,0,14,58,PM10,2,DKI1
2010,59,5,46,0,21,59,PM10,2,DKI1
2010,57,4,31,88,18,88,O3,2,DKI1
2010,37,4,18,0,10,37,PM10,1,DKI1
2010,39,0,29,0,10,39,PM10,1,DKI1
2010,63,7,50,0,22,63,PM10,2,DKI1
2010,70,9,52,0,27,70,PM10,2,DKI1
2010,70,14,42,62,25,70,PM10,2,DKI1
2010,65,15,54,102,27,102,O3,3,DKI1
2010,59,12,46,27,15,59,PM10,2,DKI1
2010,40,10,33,33,12,40,PM10,1,DKI1
2010,45,10,31,21,11,45,PM10,1,DKI1
2010,66,19,39,80,25,80,O3,2,DKI1
2010,57,17,34,80,24,80,O3,2,DKI1
2010,70,16,40,59,21,70,PM10,2,DKI1
2010,70,13,57,41,19,70,PM10,2,DKI1
2010,38,11,30,42,13,42,O3,1,DKI1
2010,38,10,26,28,12,38,PM10,1,DKI1
2010,36,9,22,27,10,36,PM10,1,DKI1
2010,36,0,24,20,10,36,PM10,1,DKI1
2010,39,0,27,24,12,39,PM10,1,DKI1
2010,41,0,23,30,12,41,PM10,1,DKI1
2010,37,0,34,25,14,37,PM10,1,DKI1
2010,29,0,22,23,12,29,PM10,1,DKI1
2010,31,0,28,36,12,36,O3,1,DKI1
2010,50,0,26,55,29,55,O3,2,DKI1
2010,58,0,31,67,29,67,O3,2,DKI1
2010,67,0,30,52,18,67,PM10,2,DKI1
2010,56,0,26,30,15,56,PM10,2,DKI1
2010,61,0,34,61,26,61,PM10,2,DKI1
2010,76,0,42,42,24,76,PM10,2,DKI1
2010,60,0,24,28,10,60,PM10,2,DKI1
2010,58,16,19,31,13,58,PM10,2,DKI1
2010,60,16,29,73,18,73,O3,2,DKI1
2010,53,13,27,31,16,53,PM10,2,DKI1
2010,53,16,26,35,15,53,PM10,2,DKI1
2010,53,19,25,21,11,53,PM10,2,DKI1
2010,67,19,33,33,16,67,PM10,2,DKI1
2010,57,16,24,26,9,57,PM10,2,DKI1
2010,0,16,28,51,16,51,O3,2,DKI1
2010,0,14,43,75,26,75,O3,2,DKI1
2010,0,14,42,60,24,60,O3,2,DKI1
2010,61,12,50,32,19,61,PM10,2,DKI1
2010,52,15,40,65,21,65,O3,2,DKI1
2010,59,12,46,69,26,69,O3,2,DKI1
2010,52,14,45,92,26,92,O3,2,DKI1
2010,56,12,29,65,15,65,O3,2,DKI1
2010,55,15,55,32,16,55,PM10,2,DKI1
2010,57,17,45,50,25,57,PM10,2,DKI1
2010,69,14,39,79,18,79,O3,2,DKI1
2010,58,14,38,57,21,58,PM10,2,DKI1
2010,53,14,37,60,18,60,O3,2,DKI1
2010,63,16,50,54,21,63,PM10,2,DKI1
2010,57,14,28,50,23,57,PM10,2,DKI1
2010,54,15,37,42,21,54,PM10,2,DKI1
2010,56,18,34,43,18,56,PM10,2,DKI1
2010,55,15,41,123,34,123,O3,3,DKI1
2010,58,17,50,113,29,113,O3,3,DKI1
2010,68,21,49,24,25,68,PM10,2,DKI1
2010,54,16,30,28,14,54,PM10,2,DKI1
2010,59,14,41,64,16,64,O3,2,DKI1
2010,56,16,33,25,15,56,PM10,2,DKI1
2010,55,20,35,31,20,55,PM10,2,DKI1
2010,58,14,42,93,26,93,O3,2,DKI1
2010,72,19,38,55,22,72,PM10,2,DKI1
2010,59,18,36,30,19,59,PM10,2,DKI1
2010,57,15,39,87,21,87,O3,2,DKI1
2010,59,18,47,42,25,59,PM10,2,DKI1
2010,70,16,39,52,21,70,PM10,2,DKI1
2010,77,19,95,18,30,95,CO,2,DKI1
2010,54,20,36,45,25,54,PM10,2,DKI1
2010,79,23,46,34,24,79,PM10,2,DKI1
2010,60,21,33,27,14,60,PM10,2,DKI1
2010,64,20,39,23,13,64,PM10,2,DKI1
2010,59,15,64,29,15,64,CO,2,DKI1
2010,55,22,31,29,14,55,PM10,2,DKI1
2010,57,20,34,31,20,57,PM10,2,DKI1
2010,55,17,71,27,38,71,CO,2,DKI1
2010,75,21,71,30,29,75,PM10,2,DKI1
2010,74,21,50,74,29,74,PM10,2,DKI1
2010,59,14,37,71,26,71,O3,2,DKI1
2010,49,15,23,28,9,49,PM10,1,DKI1
2010,51,18,31,28,13,51,PM10,2,DKI1
2010,58,17,36,41,21,58,PM10,2,DKI1
2010,64,17,32,41,23,64,PM10,2,DKI1
2010,64,17,30,41,23,30,CO,1,DKI1
2010,64,17,30,41,23,30,CO,1,DKI2
2010,56,19,30,44,22,56,PM10,2,DKI1
2010,69,18,46,55,25,69,PM10,2,DKI1
2010,60,15,40,36,19,60,PM10,2,DKI1
2010,65,17,34,33,14,65,PM10,2,DKI1
2010,50,17,29,22,12,50,PM10,1,DKI1
2010,55,21,25,27,12,55,PM10,2,DKI1
2010,62,22,37,66,19,66,O3,2,DKI1
2010,64,15,34,76,20,76,O3,2,DKI1
2010,56,13,46,51,23,56,PM10,2,DKI1
2010,54,21,30,36,14,54,PM10,2,DKI1
2010,55,20,34,35,19,55,PM10,2,DKI1
2010,63,19,37,37,20,63,PM10,2,DKI1
2010,74,18,71,43,22,74,PM10,2,DKI1
2010,51,16,34,39,20,51,PM10,2,DKI1
2010,55,16,44,34,20,55,PM10,2,DKI1
2010,58,17,43,33,18,58,PM10,2,DKI1
2010,61,16,43,64,29,64,O3,2,DKI1
2010,66,15,36,33,21,66,PM10,2,DKI1
2010,61,18,37,30,21,61,PM10,2,DKI1
2010,63,17,31,31,15,63,PM10,2,DKI1
2010,63,17,39,31,21,63,PM10,2,DKI1
2010,81,20,41,43,23,81,PM10,2,DKI1
2010,61,16,33,45,23,61,PM10,2,DKI1
2010,53,14,35,37,21,53,PM10,2,DKI1
2010,52,17,40,54,27,54,O3,2,DKI1
2010,60,17,41,39,22,60,PM10,2,DKI1
2010,62,18,39,60,22,62,PM10,2,DKI1
2010,65,25,36,46,20,65,PM10,2,DKI1
2010,55,17,30,45,17,55,PM10,2,DKI1
2010,60,16,27,65,17,65,O3,2,DKI1
2010,62,17,31,40,16,62,PM10,2,DKI1
2010,49,13,31,29,11,49,PM10,1,DKI1
2010,57,22,44,59,24,59,O3,2,DKI1
2010,63,14,40,38,20,63,PM10,2,DKI1
2010,48,15,31,22,10,48,PM10,1,DKI1
2010,50,16,21,25,10,50,PM10,1,DKI1
2010,48,12,19,47,25,48,PM10,1,DKI1
2010,57,15,36,57,29,57,PM10,2,DKI1
2010,61,13,31,48,17,61,PM10,2,DKI1
2010,61,13,31,48,17,61,PM11,2,DKI2
2010,76,16,0,56,26,76,PM10,2,DKI1
2010,60,17,38,59,17,60,PM10,2,DKI1
2010,61,13,40,80,32,80,O3,2,DKI1
2010,60,12,42,73,19,73,O3,2,DKI1
2010,61,16,40,77,26,77,O3,2,DKI1
2010,63,14,36,35,20,63,PM10,2,DKI1
2010,0,15,23,34,10,34,O3,1,DKI1
2010,0,14,20,27,7,27,O3,1,DKI1
2010,54,16,20,31,9,54,PM10,2,DKI1
2010,43,16,33,28,6,43,PM10,1,DKI1
